date,description,category,amount,type
2020-01-02,Breakfast,Food & Drink,1485.69,Expense
2020-01-02,Gas Bill,Utilities,1475.58,Expense
2020-01-04,House Rent,Rent,1185.08,Expense
2020-01-13,Restaurant Dinner,Food & Drink,1126.88,Expense
2020-01-14,Mall Shopping,Shopping,448.68,Expense
2020-01-18,Restaurant Dinner,Food & Drink,1520.03,Expense
2020-01-21,Concert Ticket,Entertainment,1914.85,Expense
2020-01-25,Apartment Rent,Rent,766.06,Expense
2020-01-25,Pharmacy Purchase,Health & Fitness,1211.41,Expense
2020-01-26,Employer Deposit,Salary,1077.09,Expense
2020-01-29,Mall Shopping,Shopping,166.81,Expense
2020-01-30,Medical Expense,Health & Fitness,1158.93,Expense
2020-01-31,Breakfast,Food & Drink,1325.91,Expense
2020-01-31,Apartment Rent,Rent,1712.08,Expense
2020-01-31,Mall Shopping,Shopping,563.17,Expense
2020-02-02,Medical Expense,Health & Fitness,333.68,Expense
2020-02-04,Uber Ride,Travel,1406.62,Expense
2020-02-05,Monthly Rent,Rent,1222.17,Expense
2020-02-07,Bus Travel,Travel,1979.15,Expense
2020-02-07,Netflix Subscription,Entertainment,1372.38,Expense
2020-02-08,Food Delivery,Food & Drink,465.81,Expense
2020-02-09,Netflix Subscription,Entertainment,1827.14,Expense
2020-02-11,Gym Membership,Health & Fitness,433.13,Expense
2020-02-13,Employer Deposit,Salary,294.31,Expense
2020-02-16,Clothing Purchase,Shopping,730.37,Expense
2020-02-16,Electricity Bill,Utilities,1023.96,Expense
2020-02-20,Clothing Purchase,Shopping,769.42,Expense
2020-02-26,Uber Ride,Travel,1942.45,Expense
2020-02-27,Cafe Visit,Food & Drink,1363.76,Expense
2020-02-29,Bus Travel,Travel,1944.06,Expense
2020-03-03,Apartment Rent,Rent,1742.33,Expense
2020-03-04,Netflix Subscription,Entertainment,314.15,Expense
2020-03-04,Food Delivery,Food & Drink,1201.9,Expense
2020-03-09,House Rent,Rent,1858.91,Expense
2020-03-09,Train Ticket,Travel,486.51,Expense
2020-03-11,House Rent,Rent,180.45,Expense
2020-03-11,Monthly Rent,Rent,1956.19,Expense
2020-03-12,Mobile Recharge,Utilities,265.5,Expense
2020-03-12,Electricity Bill,Utilities,537.46,Expense
2020-03-14,Amazon Purchase,Shopping,1929.08,Expense
2020-03-15,Gaming Purchase,Entertainment,1428.77,Expense
2020-03-18,Gym Membership,Health & Fitness,881.82,Expense
2020-03-21,Monthly Rent,Rent,503.33,Expense
2020-03-23,Breakfast,Food & Drink,151.28,Expense
2020-03-24,Concert Ticket,Entertainment,144.13,Expense
2020-04-01,Taxi Fare,Travel,1341.27,Expense
2020-04-05,Internet Bill,Utilities,1449.47,Expense
2020-04-06,Salary Credit,Salary,493.56,Expense
2020-04-06,Clothing Purchase,Shopping,388.92,Expense
2020-04-17,Employer Deposit,Salary,1729.04,Expense
2020-04-18,Medical Expense,Health & Fitness,1603.18,Expense
2020-04-23,Gas Bill,Utilities,849.54,Expense
2020-04-25,Gaming Purchase,Entertainment,1750.23,Expense
2020-04-26,Lunch Outside,Food & Drink,1938.3,Expense
2020-04-27,Gaming Purchase,Entertainment,340.96,Expense
2020-04-27,Gaming Purchase,Entertainment,1730.65,Expense
2020-04-29,Internet Bill,Utilities,764.16,Expense
2020-04-30,Uber Ride,Travel,1853.77,Expense
2020-05-01,Uber Ride,Travel,851.78,Expense
2020-05-03,Employer Deposit,Salary,318.05,Expense
2020-05-03,Restaurant Dinner,Food & Drink,1162.57,Expense
2020-05-05,Pharmacy Purchase,Health & Fitness,123.76,Expense
2020-05-06,Electricity Bill,Utilities,123.19,Expense
2020-05-06,Internet Bill,Utilities,146.36,Expense
